date,tpu_sd,tpu
2024-12-01,0.0,0.0
2024-12-02,0.8357240573154727,119.34379939438331
2024-12-03,0.6920839849643758,98.83158387347368
2024-12-04,1.2838659431223205,183.33974979427
2024-12-05,1.81878005920909,259.7270242835877
2024-12-06,0.0,0.0
2024-12-07,0.0,0.0
2024-12-08,0.0,0.0
2024-12-09,0.8202476858837047,117.13372903522806
2024-12-10,2.357121511183367,336.60373219657606
2024-12-11,2.9419423976472556,420.11783705552637
2024-12-12,2.0929182544643665,298.8747471407915
2024-12-13,0.0,0.0
2024-12-14,0.0,0.0
2024-12-15,1.1073343759430014,158.1305341975579
2024-12-16,0.8357240573154727,119.34379939438331
2024-12-17,1.3864653869861328,197.99124551139758
2024-12-18,0.7144092748019364,102.01969948229541
2024-12-19,0.6268720990474193,89.51913897868127
2024-12-20,1.0875853284678119,155.31031340879642
2024-12-21,0.0,0.0
2024-12-22,0.0,0.0
2024-12-23,0.0,0.0
2024-12-24,0.0,0.0
2024-12-25,0.7144092748019364,102.01969948229541
2024-12-26,0.0,0.0
2024-12-27,0.7144092748019364,102.01969948229541
2024-12-28,0.0,0.0
2024-12-29,0.0,0.0
2024-12-30,1.187757661353005,169.6152106964487
2024-12-31,0.4905955557762412,70.05845659201142
