date,epu_sd,epu
2024-12-01,0.0,0.0
2024-12-02,1.6599731974621443,136.6834131641952
2024-12-03,0.9887632269916138,81.41549085435744
2024-12-04,2.516694309570333,207.22645922771025
2024-12-05,1.5230863095166205,125.4120461984972
2024-12-06,0.936182868777356,77.08598551227816
2024-12-07,0.0,0.0
2024-12-08,2.0394774880679103,167.93207538943918
2024-12-09,2.330137186290196,191.8652085767917
2024-12-10,3.1271688878873682,257.4933847069381
2024-12-11,2.6809782320413316,220.75371815313645
2024-12-12,1.197770530757071,98.62530586738563
2024-12-13,0.6890550656626377,56.73730056415312
2024-12-14,0.4160332471925359,34.25648335948867
2024-12-15,1.1847181207936277,97.55056083743618
2024-12-16,2.1531305151489994,177.29034917460385
2024-12-17,1.202153963711158,98.98624095866123
2024-12-18,0.942438355867601,77.60106691709026
2024-12-19,0.7371192655452354,60.69494210981391
2024-12-20,0.6716351567131271,55.302932457566314
2024-12-21,0.5011309568455548,41.26349131938409
2024-12-22,1.3891191973470263,114.38109571623296
2024-12-23,1.0345011312002048,85.18158350438638
2024-12-24,1.1578389099585178,95.33730686097452
2024-12-25,1.0596933859708833,87.25593227858509
2024-12-26,0.8701387093177705,71.64786087972523
2024-12-27,2.1968113802850855,180.88706371547298
2024-12-28,0.5127851651442885,42.22310739657906
2024-12-29,0.5377990756391319,44.282771172021945
2024-12-30,0.7334962895682835,60.39662360497373
2024-12-31,0.6586071829477,54.23019952212217
